signup_date,user_id,channel,campaign_id,country,device,activated
2024-01-01,u1001,organic,,US,mobile,no
2024-01-01,u1002,paid_search,cmp_ps_2024,US,mobile,yes
2024-01-01,u1003,paid_search,cmp_ps_2024,US,mobile,no
2024-01-01,u1004,paid_search,cmp_ps_2024,CA,mobile,no
2024-01-01,u1005,referral,,IN,desktop,yes
2024-01-01,u1006,social,cmp_social_2024,US,desktop,no
2024-01-01,u1007,social,cmp_social_2024,IN,desktop,yes
2024-01-01,u1008,social,cmp_social_2024,IN,mobile,yes
2024-01-02,u1009,organic,,US,mobile,yes
2024-01-02,u1010,organic,,US,mobile,yes
2024-01-02,u1011,organic,,CA,mobile,yes
2024-01-02,u1012,organic,,US,mobile,no
2024-01-02,u1013,organic,,CA,desktop,yes
2024-01-02,u1014,paid_search,cmp_ps_2024,IN,desktop,yes
2024-01-02,u1015,paid_search,cmp_ps_2024,CA,desktop,no
2024-01-02,u1016,referral,,US,mobile,yes
2024-01-02,u1017,social,cmp_social_2024,US,mobile,yes
2024-01-02,u1018,social,cmp_social_2024,CA,desktop,yes
2024-01-02,u1019,social,cmp_social_2024,US,desktop,yes
2024-01-02,u1020,social,cmp_social_2024,US,mobile,yes
2024-01-02,u1021,social,cmp_social_2024,CA,desktop,yes
2024-01-02,u1022,social,cmp_social_2024,US,mobile,no
2024-01-02,u1023,social,cmp_social_2024,UK,desktop,no
2024-01-03,u1024,paid_search,cmp_ps_2024,US,mobile,yes
2024-01-03,u1025,paid_search,cmp_ps_2024,IN,desktop,yes
2024-01-03,u1026,paid_search,cmp_ps_2024,UK,mobile,no
2024-01-03,u1027,paid_search,cmp_ps_2024,IN,mobile,no
2024-01-03,u1028,referral,,DE,mobile,no
2024-01-03,u1029,social,cmp_social_2024,US,mobile,no
2024-01-04,u1030,organic,,IN,desktop,yes
2024-01-04,u1031,organic,,UK,mobile,no
2024-01-04,u1032,organic,,DE,mobile,yes
2024-01-04,u1033,paid_search,cmp_ps_2024,CA,desktop,yes
2024-01-04,u1034,paid_search,cmp_ps_2024,US,desktop,no
2024-01-04,u1035,paid_search,cmp_ps_2024,UK,mobile,yes
2024-01-04,u1036,paid_search,cmp_ps_2024,US,mobile,no
2024-01-04,u1037,referral,,US,desktop,yes
2024-01-04,u1038,social,cmp_social_2024,CA,mobile,yes
2024-01-04,u1039,social,cmp_social_2024,IN,mobile,yes
2024-01-04,u1040,social,cmp_social_2024,IN,desktop,yes
2024-01-05,u1041,organic,,UK,desktop,no
2024-01-05,u1042,organic,,IN,mobile,yes
2024-01-05,u1043,paid_search,cmp_ps_2024,UK,mobile,yes
2024-01-05,u1044,paid_search,cmp_ps_2024,US,desktop,yes
2024-01-05,u1045,paid_search,cmp_ps_2024,IN,mobile,yes
2024-01-05,u1046,referral,,UK,mobile,yes
2024-01-05,u1047,referral,,US,mobile,no
2024-01-05,u1048,referral,,US,desktop,yes
2024-01-05,u1049,referral,,UK,desktop,no
2024-01-05,u1050,referral,,CA,desktop,yes
2024-01-05,u1051,social,cmp_social_2024,CA,mobile,no
2024-01-05,u1052,social,cmp_social_2024,US,desktop,yes
2024-01-05,u1053,social,cmp_social_2024,US,mobile,no
2024-01-05,u1054,social,cmp_social_2024,US,mobile,no
2024-01-05,u1055,social,cmp_social_2024,US,mobile,no
2024-01-06,u1056,organic,,US,mobile,no
2024-01-06,u1057,organic,,US,mobile,no
2024-01-06,u1058,organic,,US,mobile,no
2024-01-06,u1059,organic,,IN,mobile,yes
2024-01-06,u1060,organic,,US,desktop,no
2024-01-06,u1061,paid_search,cmp_ps_2024,DE,desktop,no
2024-01-06,u1062,paid_search,cmp_ps_2024,CA,mobile,no
