order_date,region,category,product,units,unit_price
2024-02-26,East,A,P5,11,113.0
2024-08-18,South,C,P1,1,10.73
2024-12-16,North,B,P4,11,174.09
2024-01-04,East,B,P1,3,107.28
2024-08-22,South,A,P5,6,194.19
2024-08-26,South,B,P6,13,119.88
2024-09-19,North,B,P4,6,132.01
2024-03-10,North,A,P5,10,96.04
2024-09-20,North,B,P6,10,151.74
2024-09-07,East,B,P3,12,14.55
2024-04-14,West,A,P4,10,162.17
2024-06-18,North,B,P3,4,64.61
2024-10-17,East,C,P1,2,199.82
2024-04-22,North,C,P5,11,37.75
2024-05-17,West,B,P1,8,172.16
2024-01-26,West,A,P6,20,50.47
2024-07-05,South,A,P5,15,146.77
2024-04-24,West,B,P6,18,174.59
2024-06-23,South,C,P6,18,110.07
2024-03-06,West,C,P4,6,107.1
2024-09-13,West,A,P4,1,151.0
2024-06-19,East,A,P5,2,100.07
2024-10-22,East,A,P3,3,83.9
2024-07-05,North,B,P2,19,180.22
2024-02-20,North,A,P4,4,154.01
2024-07-06,West,B,P4,19,115.79
2024-04-26,East,B,P5,6,53.48
2024-01-15,North,C,P1,3,56.42
2024-12-10,East,C,P2,4,36.4
2024-07-03,North,C,P5,17,85.54
2024-03-16,North,B,P5,9,69.14
2024-01-14,West,A,P2,6,139.06
2024-09-27,North,B,P2,6,19.04
2024-03-24,West,B,P6,19,60.43
2024-02-18,West,C,P6,16,161.91
2024-07-20,North,B,P3,17,137.46
2024-04-22,West,A,P2,15,64.75
2024-07-16,West,B,P1,4,67.45
2024-11-10,North,A,P1,10,147.5
2024-11-23,South,C,P6,8,186.37
2024-07-15,North,B,P4,20,116.24
2024-08-20,South,C,P3,14,128.07
2024-11-11,West,B,P2,6,48.76
2024-01-16,West,A,P3,8,unknown
2024-03-09,North,C,P3,14,91.33
2024-12-09,West,C,P3,5,135.54
2024-01-15,North,A,P4,3,190.18
2024-05-22,East,A,P4,16,177.52
2024-03-07,North,A,P4,10,121.4
