created_date,category,priority,resolution_hours,satisfied
2024-10-08,account,medium,15.9,yes
2024-05-11,technical,low,45.0,yes
2024-01-23,billing,medium,15.4,yes
2024-01-22,billing,medium,7.7,yes
2024-09-06,account,medium,12.1,yes
2024-02-19,other,low,2.3,yes
2024-11-10,billing,low,7.9,yes
2024-04-09,billing,medium,7.0,no
2024-03-16,account,high,13.3,yes
2024-03-19,technical,medium,40.1,no
2024-11-03,technical,low,33.3,yes
2024-01-15,billing,medium,4.0,yes
2024-01-24,billing,high,9.5,no
2024-01-10,technical,medium,32.7,yes
2024-09-17,billing,medium,4.5,no
2024-05-21,billing,low,8.7,yes
2024-03-23,technical,low,19.6,no
2024-05-15,account,medium,10.0,no
2024-12-27,technical,medium,18.8,yes
2024-05-09,account,low,10.9,no
2024-05-14,billing,medium,4.5,no
2024-04-09,account,medium,20.5,no
2024-07-16,technical,high,50.5,yes
2024-10-21,other,high,6.6,yes
2024-10-01,other,low,6.4,yes
2024-12-27,billing,low,9.2,yes
2024-01-22,account,medium,14.3,yes
2024-09-18,billing,low,8.4,yes
2024-11-04,technical,low,28.3,yes
2024-05-11,account,medium,12.3,yes
2024-01-08,account,low,7.1,no
2024-04-11,other,low,5.3,yes
2024-06-09,technical,high,43.2,yes
2024-05-01,other,medium,4.2,no
2024-07-03,technical,medium,43.6,yes
2024-04-02,billing,low,6.9,no
2024-06-15,billing,low,12.6,no
2024-03-05,technical,medium,35.4,yes
2024-08-23,account,low,13.3,no
2024-02-23,technical,high,45.4,yes
2024-01-01,account,low,12.2,yes
2024-06-22,billing,medium,8.5,yes
2024-03-08,other,medium,5.5,yes
2024-06-07,technical,medium,40.7,no
2024-12-11,account,medium,12.3,no
2024-01-01,account,low,14.3,no
2024-03-01,account,low,15.7,yes
2024-03-23,billing,low,7.9,yes
2024-02-06,billing,low,10.8,no
2024-11-09,technical,low,39.7,no
2024-09-05,billing,low,6.1,yes
2024-01-21,billing,low,7.1,yes
2024-07-05,other,medium,5.0,yes
