total_bill,tip,sex,smoker,day,time,party_size
22.44,5.04,Female,no,Sat,Dinner,4
11.68,1.95,Female,yes,Thu,Dinner,2
26.0,4.07,Male,yes,Sun,Lunch,3
27.52,5.71,Male,yes,Sat,Dinner,3
4.39,0.84,Male,no,Sat,Dinner,4
9.58,2.0,Female,no,Sun,Lunch,3
21.02,4.58,Female,no,Thu,Lunch,5
17.47,2.99,Female,yes,Fri,Lunch,2
19.87,3.83,Male,no,Sat,Lunch,3
13.18,2.97,Male,no,Thu,Dinner,3
27.04,5.83,Female,no,Sat,Dinner,2
26.22,5.54,Female,no,Fri,Lunch,5
20.53,3.64,Female,yes,Thu,Dinner,2
29.02,5.67,Female,no,Fri,Dinner,2
23.74,4.58,Male,yes,Sat,Dinner,5
13.13,3.0,Male,no,Thu,Dinner,6
22.95,4.81,Male,yes,Thu,Dinner,5
12.33,2.81,Female,yes,Sun,Dinner,6
27.03,5.55,Female,no,Fri,Lunch,6
19.6,3.02,Male,yes,Fri,Dinner,3
18.52,3.12,Female,no,Thu,Lunch,5
14.55,2.21,Female,no,Fri,Dinner,2
29.78,5.27,Female,yes,Fri,Dinner,3
18.76,3.6,Female,no,Sat,Lunch,4
16.57,4.32,Male,no,Fri,Dinner,6
17.18,4.19,Male,no,Sun,Lunch,6
24.26,4.05,Female,yes,Sun,Lunch,3
22.92,4.7,Female,no,Thu,Lunch,4
23.3,3.86,Male,yes,Thu,Dinner,2
23.45,4.79,Male,yes,Thu,Lunch,5
37.13,7.49,Female,yes,Sat,Dinner,4
16.75,3.52,Female,no,Thu,Lunch,4
15.9,3.23,Male,no,Sun,Dinner,5
13.49,2.96,Female,no,Sat,Dinner,4
24.93,3.47,Male,no,Sun,Dinner,1
29.03,5.05,Male,no,Sat,Dinner,2
19.09,4.31,Female,no,Sun,Dinner,2
13.28,2.85,Male,no,Thu,Dinner,5
13.4,2.55,Female,no,Sat,Dinner,1
25.2,4.43,Male,yes,Fri,Dinner,2
25.95,5.44,Female,yes,Sun,Dinner,4
24.35,5.09,Male,no,Sat,Dinner,5
14.68,2.86,Female,no,Sun,Dinner,4
21.86,4.51,Male,no,Thu,Lunch,6
20.93,4.83,Female,yes,Sun,Lunch,6
21.75,3.15,Male,no,Sat,Dinner,1
26.97,6.35,Male,yes,Sat,Dinner,6
21.79,4.79,Male,yes,Sun,Dinner,4
25.43,5.22,Female,yes,Fri,Dinner,4
20.54,3.21,Male,yes,Fri,Dinner,1
22.31,4.62,Female,no,Sat,Dinner,4
25.05,5.11,Female,yes,Thu,Lunch,5
8.34,1.81,Female,no,Fri,Lunch,4
17.44,2.19,Female,no,Thu,Dinner,1
16.24,3.11,Male,no,Thu,Dinner,4
14.89,2.71,Female,no,Sun,Dinner,6
17.8,3.21,Female,yes,Sat,Dinner,5
31.96,6.05,Male,no,Fri,Dinner,1
13.07,3.14,Male,no,Sat,Lunch,6
27.75,5.76,Female,no,Sat,Dinner,6
6.54,0.94,Male,no,Sat,Lunch,2
17.32,2.61,Female,yes,Sun,Dinner,5
21.3,3.73,Male,no,Sun,Dinner,3
24.69,6.08,Male,yes,Fri,Lunch,4
25.69,5.0,Female,yes,Fri,Dinner,3
26.35,5.24,Male,yes,Sat,Lunch,5
17.21,3.98,Female,no,Sat,Lunch,6
16.3,2.91,Female,no,Sat,Lunch,5
26.86,5.8,Male,no,Sat,Lunch,6
18.47,4.14,Male,no,Sat,Dinner,6
9.79,1.57,Female,yes,Fri,Dinner,1
10.93,2.07,Female,no,Fri,Dinner,2
12.64,2.74,Male,no,Fri,Dinner,5
23.98,5.07,Female,no,Thu,Lunch,4
21.14,3.13,Male,yes,Thu,Lunch,1
